https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.74658E+12,07-05-2025 00:00,BTC/USD,96970,97840,95944,97121,44616977.62,459.3957807
1.74649E+12,06-05-2025 00:00,BTC/USD,94970,96999,93663,96933,59423079.9,613.032506
1.7464E+12,05-05-2025 00:00,BTC/USD,94703,95407,93988,94990,228882726.3,2409.545492
1.74632E+12,04-05-2025 00:00,BTC/USD,96065,96439,94703,94703,277840698.2,2933.810948
1.74623E+12,03-05-2025 00:00,BTC/USD,96894,96945,96065,96065,101510234.7,1056.682815
1.74614E+12,02-05-2025 00:00,BTC/USD,96491,97915,96381,96888,35152089.49,362.8115916
1.74606E+12,01-05-2025 00:00,BTC/USD,94301,97474,94294,96467,50985273.27,528.52554
1.74597E+12,30-04-2025 00:00,BTC/USD,94426,95285,93436,94309,107882800.9,1143.929009
1.74588E+12,29-04-2025 00:00,BTC/USD,95077,95531,94012,94451,47634184.35,504.3269457
1.7458E+12,28-04-2025 00:00,BTC/USD,93771,95550,93033,95046,127315853.7,1339.518272
1.74571E+12,27-04-2025 00:00,BTC/USD,94693,95369,93724,93784,37205598.32,396.7158398
1.74563E+12,26-04-2025 00:00,BTC/USD,94687,95228,94083,94694,29144320.92,307.7736807
1.74554E+12,25-04-2025 00:00,BTC/USD,93961,95814,92921,94707,67654362.05,714.3543989
1.74545E+12,24-04-2025 00:00,BTC/USD,93635,94000,91756,93961,32181981.07,342.5036033
1.74537E+12,23-04-2025 00:00,BTC/USD,93339,94569,91919,93635,121221382.4,1294.616142
1.74528E+12,22-04-2025 00:00,BTC/USD,87473,93911,87038,93339,97260927.29,1042.018098
1.74519E+12,21-04-2025 00:00,BTC/USD,85003,88630,84940,87473,80249045.65,917.4150384
1.74511E+12,20-04-2025 00:00,BTC/USD,84931,85187,83817,85019,23896317.73,281.0703223
1.74502E+12,19-04-2025 00:00,BTC/USD,84377,85522,84311,84899,29338900.81,345.5741623
1.74493E+12,18-04-2025 00:00,BTC/USD,84834,85009,84200,84363,45029273.54,533.756191
1.74485E+12,17-04-2025 00:00,BTC/USD,84005,85382,83650,84832,55252609.83,651.3180148
1.74476E+12,16-04-2025 00:00,BTC/USD,83649,85500,83111,84021,28767121.61,342.3801384
1.74468E+12,15-04-2025 00:00,BTC/USD,84547,86446,83604,83667,18098815.01,216.3196363
1.74459E+12,14-04-2025 00:00,BTC/USD,83717,85727,83658,84544,14968979.38,177.0554905
1.7445E+12,13-04-2025 00:00,BTC/USD,85259,86029,83000,83676,24439844.3,292.0771106
1.74442E+12,12-04-2025 00:00,BTC/USD,83372,85865,82761,85259,15787292.57,185.168634
1.74433E+12,11-04-2025 00:00,BTC/USD,79505,84232,78888,83372,35925556.95,430.9067427
1.74424E+12,10-04-2025 00:00,BTC/USD,82566,82699,78448,79519,64611788.7,812.5327117
1.74416E+12,09-04-2025 00:00,BTC/USD,76333,83582,74634,82542,154836129.6,1875.846594
1.74407E+12,08-04-2025 00:00,BTC/USD,79182,80901,76260,76332,58192405.31,762.3592374
1.74398E+12,07-04-2025 00:00,BTC/USD,78459,81262,74501,79249,182248188.5,2299.690703
1.7439E+12,06-04-2025 00:00,BTC/USD,83599,83807,77133,78441,104530872.2,1332.605043
1.74381E+12,05-04-2025 00:00,BTC/USD,83862,84219,82421,83598,41461696.38,495.9651712
1.74372E+12,04-04-2025 00:00,BTC/USD,83227,84695,81634,83842,63222085.83,754.062234
1.74364E+12,03-04-2025 00:00,BTC/USD,82517,83891,81227,83208,58149083.12,698.8400528
